source,title,url,raw_text_filename
Mayo Clinic,Transforming Your Gut Health: Simple Steps for a Healthier You,https://mcpress.mayoclinic.org/living-well/transforming-your-gut-health-simple-steps-for-a-healthier-you/,Mayo Clinic – Digestive Health/mayo_transforming_gut_health.txt
Mayo Clinic,Prebiotics, Probiotics and the Microbes in Your Gut,https://mcpress.mayoclinic.org/dairy-health/prebiotics-probiotics-and-the-microbes-in-your-gut-key-to-your-digestive-health/,Mayo Clinic – Digestive Health/mayo_probiotics_microbes.txt
Mayo Clinic,How Yogurt Supports Healthy Digestion,https://mcpress.mayoclinic.org/dairy-health/how-yogurt-supports-healthy-digestion/,Mayo Clinic – Digestive Health/mayo_yogurt_digestion.txt
Mayo Clinic,The Functionality of Fiber: Caring for Your Gut Microbiome,https://mcpress.mayoclinic.org/healthygut/the-functionality-of-fiber-caring-for-your-gut-microbiome/,Mayo Clinic – Digestive Health/mayo_fiber_microbiome.txt
Mayo Clinic,The Microbiome and Its Influence on Healthy Aging,https://mcpress.mayoclinic.org/healthygut/the-microbiome-and-its-influence-on-healthy-aging/,Mayo Clinic – Digestive Health/mayo_microbiome_aging.txt
Mayo Clinic,Alzheimer's and the Gut-Health Connection,https://mcpress.mayoclinic.org/healthy-aging/alzheimers-and-the-gut-health-connection/,Mayo Clinic – Digestive Health/mayo_alzheimers_gut.txt
Mayo Clinic,Mayo Researchers Develop Tool That Measures Gut Microbiome,https://newsnetwork.mayoclinic.org/discussion/mayo-researchers-develop-tool-that-measures-health-of-a-persons-gut-microbiome/,Mayo Clinic – Digestive Health/mayo_researchers_tool.txt
Healthline,How to Improve and Reset Gut Health,https://www.healthline.com/health/gut-health,Healthline – Gut Health Articles/healthline_reset_gut_health.txt
Healthline,How Does Your Gut Microbiome Impact Overall Health?,https://www.healthline.com/nutrition/gut-microbiome-and-health,Healthline – Gut Health Articles/healthline_microbiome_health.txt
Healthline,Gut Health from a Doctor’s Perspective,https://www.healthline.com/health/digestive-health/gut-doctor-strengthen-digestion-and-support-long-term-health,Healthline – Gut Health Articles/healthline_doctor_perspective.txt
Healthline,Probiotics and Prebiotics: What's the Difference?,https://www.healthline.com/nutrition/probiotics-and-prebiotics,Healthline – Gut Health Articles/healthline_probiotics_prebiotics.txt
Healthline,11 Best Ways to Improve Digestion Naturally,https://www.healthline.com/nutrition/ways-to-improve-digestion,Healthline – Gut Health Articles/healthline_improve_digestion.txt
Healthline,11 Super Healthy Probiotic Foods,https://www.healthline.com/nutrition/11-super-healthy-probiotic-foods,Healthline – Gut Health Articles/healthline_probiotic_foods.txt
Healthline,The 3-Day Fix to Resetting Your Gut,https://www.healthline.com/health/digestive-health/3-day-gut-reset,Healthline – Gut Health Articles/healthline_gut_reset.txt
Healthline,Does All Disease Begin in the Gut?,https://www.healthline.com/nutrition/does-all-disease-begin-in-the-gut,Healthline – Gut Health Articles/healthline_disease_in_gut.txt
Healthline,10 Health Facts About Your Gut,https://www.healthline.com/health/digestive-health/things-your-gut-wants-you-to-know,Healthline – Gut Health Articles/healthline_gut_facts.txt
NIH,Digestive Disorders and Intestinal Microbiota,https://pmc.ncbi.nlm.nih.gov/articles/PMC6502202/,NIH – Digestive Disorders/nih_digestive_disorders.txt
NIH,Role of Gut Microbiota in Health and Chronic Disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC3667473/,NIH – Digestive Disorders/nih_gut_microbiota_chronic.txt
NIH,Update on Gut Microbiota in Gastrointestinal Diseases,https://pmc.ncbi.nlm.nih.gov/articles/PMC9372855/,NIH – Digestive Disorders/nih_update_gut_microbiota.txt
NIH,The Gastrointestinal Microbiome: A Review,https://pmc.ncbi.nlm.nih.gov/articles/PMC5787212/,NIH – Digestive Disorders/nih_microbiome_review.txt
NIH,Human Gut Microbiota in Health and Diseases,https://pubmed.ncbi.nlm.nih.gov/33136284/,NIH – Digestive Disorders/nih_human_microbiota.txt
NIH,A Comprehensive Review on Role of Gut,https://pmc.ncbi.nlm.nih.gov/articles/PMC8729913/,NIH – Digestive Disorders/nih_comprehensive_review.txt
NIH,Gut Microbiota Dysbiosis in Functional GI Disorders,https://pmc.ncbi.nlm.nih.gov/articles/PMC8454481/,NIH – Digestive Disorders/nih_dysbiosis_gi.txt
NIH,Gut Microbiome–Brain Alliance,https://pmc.ncbi.nlm.nih.gov/articles/PMC10197139/,NIH – Digestive Disorders/nih_microbiome_brain.txt
NIH,Gut Microbiota Therapy in GI Diseases,https://pubmed.ncbi.nlm.nih.gov/40078367/,NIH – Digestive Disorders/nih_gut_microbiota_therapy.txt
Precision Nutrition,How to Improve Your Gut Health and Microbiome,https://www.precisionnutrition.com/how-to-improve-gut-health,Precision Nutrition – Digestive Health/pn_improve_gut_health.txt
Precision Nutrition,All About Nutrition & Gut Health,https://www.precisionnutrition.com/all-about-nutrition-gut-health,Precision Nutrition – Digestive Health/pn_all_about_gut_health.txt
Precision Nutrition,What Is IBS? Can Health Coaches Help?,https://www.precisionnutrition.com/what-is-ibs,Precision Nutrition – Digestive Health/pn_what_is_ibs.txt
Precision Nutrition,All About Probiotics,https://www.precisionnutrition.com/all-about-probiotics,Precision Nutrition – Digestive Health/pn_all_about_probiotics.txt
Precision Nutrition,Do Probiotics Really Work?,https://www.precisionnutrition.com/do-probiotics-work,Precision Nutrition – Digestive Health/pn_do_probiotics_work.txt
Precision Nutrition,All About Fiber,https://www.precisionnutrition.com/all-about-fibre,Precision Nutrition – Digestive Health/pn_all_about_fiber.txt
Precision Nutrition,6 Reasons You Should Care About Poop Health,https://www.precisionnutrition.com/poop-health,Precision Nutrition – Digestive Health/pn_poop_health.txt
Precision Nutrition,All About Slow Eating,https://www.precisionnutrition.com/all-about-slow-eating,Precision Nutrition – Digestive Health/pn_slow_eating.txt
Precision Nutrition,All About Lectins,https://www.precisionnutrition.com/all-about-lectins,Precision Nutrition – Digestive Health/pn_all_about_lectins.txt
